account_id,instrument,side,units,entry_ticket,entry_timestamp,entry_price,stop_loss,take_profit,exit_ticket,exit_timestamp,exit_price,close_type,price_change,pnl,pnl_currency,holding_minutes
101-004-30719775-005,AUD/USD,Sell,10000.00,,2025-11-14T00:01:29+00:00,0.65264,,,,2025-11-14T00:34:17+00:00,0.65319,STOP_LOSS_ORDER,-0.00055,-5.50,USD,32.80
101-004-30719775-005,GBP/USD,Sell,10000.00,,2025-11-14T00:34:25+00:00,1.31525,,,,2025-11-14T00:42:57+00:00,1.31431,TAKE_PROFIT_ORDER,0.00094,9.40,USD,8.53
101-004-30719775-005,GBP/USD,Sell,10000.00,,2025-11-14T00:43:20+00:00,1.31406,,,,2025-11-14T00:58:06+00:00,1.31475,STOP_LOSS_ORDER,-0.00069,-6.90,USD,14.77
101-004-30719775-005,USD/JPY,Sell,17296.00,,2025-11-14T01:28:37+00:00,154.46100,,,,2025-11-14T01:28:55+00:00,154.48600,STOP_LOSS_ORDER,-0.02500,-2.81,USD,0.30
101-004-30719775-005,USD/JPY,Sell,17744.00,,2025-11-14T01:31:14+00:00,154.51100,,,,2025-11-14T01:31:15+00:00,154.53400,STOP_LOSS_ORDER,-0.02300,-2.65,USD,0.02
101-004-30719775-005,USD/JPY,Sell,16835.00,,2025-11-14T01:33:47+00:00,154.52600,,,,2025-11-14T01:35:35+00:00,154.55300,STOP_LOSS_ORDER,-0.02700,-2.96,USD,1.80
101-004-30719775-005,USD/JPY,Sell,17426.00,,2025-11-14T01:37:36+00:00,154.52400,,,,2025-11-14T01:38:35+00:00,154.54700,STOP_LOSS_ORDER,-0.02300,-2.61,USD,0.98
101-004-30719775-005,USD/JPY,Sell,17503.00,,2025-11-14T01:40:16+00:00,154.48300,,,,2025-11-14T01:40:45+00:00,154.51000,STOP_LOSS_ORDER,-0.02700,-3.07,USD,0.48
101-004-30719775-005,USD/JPY,Sell,19250.00,,2025-11-14T01:42:46+00:00,154.48900,,,,2025-11-14T01:43:07+00:00,154.51000,STOP_LOSS_ORDER,-0.02100,-2.63,USD,0.35
101-004-30719775-005,USD/JPY,Sell,17206.00,,2025-11-14T01:44:01+00:00,154.46300,,,,2025-11-14T01:44:36+00:00,154.50000,STOP_LOSS_ORDER,-0.03700,-4.14,USD,0.58
101-004-30719775-005,GBP/USD,Sell,10000.00,,2025-11-14T00:59:53+00:00,1.31470,,,,2025-11-14T01:45:44+00:00,1.31478,STOP_LOSS_ORDER,-0.00008,-5.80,USD,45.85
101-004-30719775-005,EUR/USD,Buy,10000.00,,2025-11-14T01:45:23+00:00,1.16374,,,,2025-11-14T02:06:03+00:00,1.16318,STOP_LOSS_ORDER,-0.00056,-5.60,USD,20.67
101-004-30719775-005,GBP/USD,Sell,10000.00,,2025-11-14T01:38:51+00:00,1.31420,,,,2025-11-14T02:22:10+00:00,1.31521,STOP_LOSS_ORDER,-0.00101,-5.10,USD,43.32
101-004-30719775-005,GBP/USD,Sell,10000.00,,2025-11-14T02:23:33+00:00,1.31498,,,,2025-11-14T03:24:54+00:00,1.31557,STOP_LOSS_ORDER,-0.00059,-5.90,USD,61.35
101-004-30719775-005,USD/JPY,Sell,18605.00,,2025-11-14T03:26:06+00:00,154.44100,,,,2025-11-14T03:31:08+00:00,154.41600,TAKE_PROFIT_ORDER,0.02500,3.00,USD,5.03
101-004-30719775-005,AUD/USD,Buy,10000.00,,2025-11-14T02:07:17+00:00,0.65431,,,,2025-11-14T04:06:35+00:00,0.65376,STOP_LOSS_ORDER,-0.00055,-5.50,USD,119.30
101-004-30719775-005,GBP/USD,Sell,10000.00,,2025-11-14T04:07:18+00:00,1.31477,,,,2025-11-14T06:14:33+00:00,1.31533,STOP_LOSS_ORDER,-0.00056,-5.60,USD,127.25
101-004-30719775-005,USD/JPY,Buy,21806.00,,2025-11-14T06:22:25+00:00,154.52200,,,,2025-11-14T06:22:28+00:00,154.50300,STOP_LOSS_ORDER,-0.01900,-2.69,USD,0.05
101-004-30719775-005,USD/JPY,Buy,20986.00,,2025-11-14T06:24:54+00:00,154.52800,,,,2025-11-14T06:25:13+00:00,154.50900,STOP_LOSS_ORDER,-0.01900,-2.59,USD,0.32
101-004-30719775-005,EUR/USD,Buy,10000.00,,2025-11-14T03:31:11+00:00,1.16420,,,,2025-11-14T06:45:57+00:00,1.16364,STOP_LOSS_ORDER,-0.00056,-5.60,USD,194.77
101-004-30719775-005,USD/JPY,Buy,18185.00,,2025-11-14T06:45:59+00:00,154.62000,,,,2025-11-14T06:46:13+00:00,154.59500,STOP_LOSS_ORDER,-0.02500,-2.96,USD,0.23
101-004-30719775-005,USD/JPY,Buy,17258.00,,2025-11-14T06:48:29+00:00,154.62800,,,,2025-11-14T06:48:35+00:00,154.60800,STOP_LOSS_ORDER,-0.02000,-2.24,USD,0.10
101-004-30719775-005,USD/JPY,Buy,16021.00,,2025-11-14T06:49:42+00:00,154.66400,,,,2025-11-14T06:49:51+00:00,154.63700,STOP_LOSS_ORDER,-0.02700,-2.81,USD,0.15
101-004-30719775-005,EUR/USD,Sell,10000.00,,2025-11-14T06:51:06+00:00,1.16343,,,,2025-11-14T07:00:29+00:00,1.16397,STOP_LOSS_ORDER,-0.00054,-5.40,USD,9.38
101-004-30719775-005,AUD/USD,Sell,10000.00,,2025-11-14T06:26:12+00:00,0.65334,,,,2025-11-14T07:23:25+00:00,0.65241,TAKE_PROFIT_ORDER,0.00093,9.30,USD,57.22
101-004-30719775-005,GBP/USD,Sell,10000.00,,2025-11-14T07:20:57+00:00,1.31385,,,,2025-11-14T07:24:27+00:00,1.31300,TAKE_PROFIT_ORDER,0.00085,8.50,USD,3.50
101-004-30719775-005,GBP/USD,Sell,10000.00,,2025-11-14T08:35:56+00:00,1.31348,,,,2025-11-14T08:37:18+00:00,1.31403,STOP_LOSS_ORDER,-0.00055,-5.50,USD,1.37
101-004-30719775-005,USD/JPY,Buy,38841.00,,2025-11-14T08:38:35+00:00,154.64300,,,,2025-11-14T08:39:16+00:00,154.62400,STOP_LOSS_ORDER,-0.01900,-4.80,USD,0.68
101-004-30719775-005,EUR/USD,Sell,10000.00,,2025-11-14T08:35:55+00:00,1.16322,,,,2025-11-14T08:43:14+00:00,1.16374,STOP_LOSS_ORDER,-0.00052,-5.20,USD,7.32
101-004-30719775-005,USD/JPY,Sell,34208.00,,2025-11-14T08:46:08+00:00,154.51000,,,,2025-11-14T08:47:25+00:00,154.47600,TAKE_PROFIT_ORDER,0.03400,7.49,USD,1.28
101-004-30719775-005,AUD/USD,Sell,10000.00,,2025-11-14T08:39:49+00:00,0.65239,,,,2025-11-14T08:53:59+00:00,0.65297,STOP_LOSS_ORDER,-0.00058,-5.80,USD,14.17
101-004-30719775-005,GBP/USD,Buy,200000.00,,2025-11-14T09:03:50+00:00,1.31750,,,,2025-11-14T09:10:31+00:00,1.31683,STOP_LOSS_ORDER,-0.00067,-134.00,USD,6.68
101-004-30719775-005,USD/JPY,Buy,34621.00,,2025-11-14T09:14:10+00:00,154.66000,,,,2025-11-14T09:15:15+00:00,154.63600,STOP_LOSS_ORDER,-0.02400,-5.40,USD,1.08
101-004-30719775-005,EUR/USD,Sell,10000.00,,2025-11-14T08:48:50+00:00,1.16320,,,,2025-11-14T09:48:26+00:00,1.16224,TAKE_PROFIT_ORDER,0.00096,9.60,USD,59.60
