account_id,instrument,side,units,entry_ticket,entry_timestamp,entry_price,stop_loss,take_profit,exit_ticket,exit_timestamp,exit_price,close_type,price_change,pnl,pnl_currency,holding_minutes
101-004-30719775-006,GBP/USD,Sell,10000.00,,2025-11-14T00:02:36+00:00,1.31547,,,,2025-11-14T00:19:25+00:00,1.31604,STOP_LOSS_ORDER,-0.00057,-5.70,USD,16.82
101-004-30719775-006,GBP/USD,Sell,10000.00,,2025-11-14T00:21:40+00:00,1.31602,,,,2025-11-14T00:37:47+00:00,1.31509,TAKE_PROFIT_ORDER,0.00093,9.30,USD,16.12
101-004-30719775-006,GBP/USD,Sell,10000.00,,2025-11-14T00:39:20+00:00,1.31464,,,,2025-11-14T00:47:06+00:00,1.31369,TAKE_PROFIT_ORDER,0.00095,9.50,USD,7.77
101-004-30719775-006,GBP/USD,Sell,10000.00,,2025-11-14T00:49:36+00:00,1.31351,,,,2025-11-14T00:53:13+00:00,1.31410,STOP_LOSS_ORDER,-0.00059,-5.90,USD,3.62
101-004-30719775-006,GBP/USD,Sell,10000.00,,2025-11-14T00:54:36+00:00,1.31404,,,,2025-11-14T00:58:04+00:00,1.31464,STOP_LOSS_ORDER,-0.00060,-6.00,USD,3.47
101-004-30719775-006,GBP/USD,Sell,10000.00,,2025-11-14T00:59:39+00:00,1.31476,,,,2025-11-14T03:20:13+00:00,1.31533,STOP_LOSS_ORDER,-0.00057,-5.70,USD,140.57
101-004-30719775-006,GBP/USD,Sell,10000.00,,2025-11-14T03:50:10+00:00,1.31493,,,,2025-11-14T04:51:45+00:00,1.31398,TAKE_PROFIT_ORDER,0.00095,9.50,USD,61.58
101-004-30719775-006,GBP/USD,Sell,10000.00,,2025-11-14T04:53:39+00:00,1.31391,,,,2025-11-14T04:58:51+00:00,1.31449,STOP_LOSS_ORDER,-0.00058,-5.80,USD,5.20
101-004-30719775-006,GBP/USD,Sell,10000.00,,2025-11-14T05:01:19+00:00,1.31452,,,,2025-11-14T05:36:53+00:00,1.31509,STOP_LOSS_ORDER,-0.00057,-5.70,USD,35.57
101-004-30719775-006,GBP/USD,Sell,10000.00,,2025-11-14T05:46:27+00:00,1.31460,,,,2025-11-14T06:02:14+00:00,1.31517,STOP_LOSS_ORDER,-0.00057,-5.70,USD,15.78
101-004-30719775-006,GBP/USD,Sell,10000.00,,2025-11-14T06:50:51+00:00,1.31425,,,,2025-11-14T07:00:52+00:00,1.31485,STOP_LOSS_ORDER,-0.00060,-6.00,USD,10.02
101-004-30719775-006,GBP/USD,Sell,10000.00,,2025-11-14T07:20:42+00:00,1.31415,,,,2025-11-14T07:23:36+00:00,1.31320,TAKE_PROFIT_ORDER,0.00095,9.50,USD,2.90
101-004-30719775-006,GBP/USD,Sell,10000.00,,2025-11-14T07:25:45+00:00,1.31286,,,,2025-11-14T07:31:08+00:00,1.31342,STOP_LOSS_ORDER,-0.00056,-5.60,USD,5.38
101-004-30719775-006,GBP/USD,Sell,10000.00,,2025-11-14T07:33:15+00:00,1.31369,,,,2025-11-14T07:33:46+00:00,1.31423,STOP_LOSS_ORDER,-0.00054,-5.40,USD,0.52
101-004-30719775-006,GBP/USD,Sell,10000.00,,2025-11-14T08:05:57+00:00,1.31250,,,,2025-11-14T08:10:36+00:00,1.31315,STOP_LOSS_ORDER,-0.00065,-6.50,USD,4.65
101-004-30719775-006,GBP/USD,Sell,10000.00,,2025-11-14T08:12:16+00:00,1.31336,,,,2025-11-14T08:15:00+00:00,1.31240,TAKE_PROFIT_ORDER,0.00096,9.60,USD,2.73
101-004-30719775-006,GBP/USD,Sell,10000.00,,2025-11-14T08:17:17+00:00,1.31232,,,,2025-11-14T08:22:41+00:00,1.31140,TAKE_PROFIT_ORDER,0.00092,9.20,USD,5.40
101-004-30719775-006,GBP/USD,Sell,10000.00,,2025-11-14T08:24:47+00:00,1.31172,,,,2025-11-14T08:26:40+00:00,1.31227,STOP_LOSS_ORDER,-0.00055,-5.50,USD,1.88
101-004-30719775-006,GBP/USD,Sell,10000.00,,2025-11-14T08:28:32+00:00,1.31222,,,,2025-11-14T08:30:44+00:00,1.31284,STOP_LOSS_ORDER,-0.00062,-6.20,USD,2.20
101-004-30719775-006,GBP/USD,Sell,10000.00,,2025-11-14T08:32:21+00:00,1.31285,,,,2025-11-14T08:35:22+00:00,1.31340,STOP_LOSS_ORDER,-0.00055,-5.50,USD,3.02
101-004-30719775-006,GBP/USD,Sell,10000.00,,2025-11-14T08:35:31+00:00,1.31338,,,,2025-11-14T08:36:44+00:00,1.31391,STOP_LOSS_ORDER,-0.00053,-5.30,USD,1.22
101-004-30719775-006,GBP/USD,Buy,200000.00,,2025-11-14T09:02:20+00:00,1.31667,,,,2025-11-14T09:05:57+00:00,1.31799,TAKE_PROFIT_ORDER,0.00132,264.00,USD,3.62
101-004-30719775-006,GBP/USD,Sell,200000.00,,2025-11-14T10:31:12+00:00,1.31449,,,,2025-11-14T11:12:27+00:00,1.31351,TAKE_PROFIT_ORDER,0.00098,196.00,USD,41.25
101-004-30719775-006,GBP/USD,Sell,200000.00,,2025-11-14T11:14:20+00:00,1.31306,,,,2025-11-14T11:24:18+00:00,1.31361,STOP_LOSS_ORDER,-0.00055,-110.00,USD,9.97
101-004-30719775-006,GBP/USD,Sell,200000.00,,2025-11-14T11:25:59+00:00,1.31294,,,,2025-11-14T11:27:49+00:00,1.31354,STOP_LOSS_ORDER,-0.00060,-120.00,USD,1.83
101-004-30719775-006,GBP/USD,Sell,200000.00,,2025-11-14T11:29:49+00:00,1.31347,,,,2025-11-14T11:30:24+00:00,1.31403,STOP_LOSS_ORDER,-0.00056,-112.00,USD,0.58
101-004-30719775-006,GBP/USD,Sell,200000.00,,2025-11-14T11:32:33+00:00,1.31359,,,,2025-11-14T11:55:37+00:00,1.31415,STOP_LOSS_ORDER,-0.00056,-112.00,USD,23.07
101-004-30719775-006,GBP/USD,Sell,200000.00,,2025-11-14T11:58:20+00:00,1.31373,,,,2025-11-14T12:06:15+00:00,1.31429,STOP_LOSS_ORDER,-0.00056,-112.00,USD,7.92
101-004-30719775-006,GBP/USD,Buy,200000.00,,2025-11-14T12:31:38+00:00,1.31533,,,,2025-11-14T12:41:05+00:00,1.31627,TAKE_PROFIT_ORDER,0.00094,188.00,USD,9.45
101-004-30719775-006,GBP/USD,Buy,200000.00,,2025-11-14T12:43:33+00:00,1.31690,,,,2025-11-14T12:56:34+00:00,1.31786,TAKE_PROFIT_ORDER,0.00096,192.00,USD,13.02
101-004-30719775-006,GBP/USD,Buy,200000.00,,2025-11-14T12:58:10+00:00,1.31786,,,,2025-11-14T13:02:09+00:00,1.31730,STOP_LOSS_ORDER,-0.00056,-112.00,USD,3.98
