account_id,instrument,side,units,entry_ticket,entry_timestamp,entry_price,stop_loss,take_profit,exit_ticket,exit_timestamp,exit_price,close_type,price_change,pnl,pnl_currency,holding_minutes
101-004-30719775-007,XAU/USD,Sell,48.00,,2025-11-13T13:49:45+00:00,4224.57000,,,,2025-11-13T14:27:48+00:00,4209.62000,TAKE_PROFIT_ORDER,14.95000,717.60,USD,38.05
101-004-30719775-007,XAU/USD,Sell,48.00,,2025-11-13T14:30:09+00:00,4206.55000,,,,2025-11-13T14:35:27+00:00,4217.19000,STOP_LOSS_ORDER,-10.64000,-510.72,USD,5.30
101-004-30719775-007,XAU/USD,Sell,48.00,,2025-11-13T14:39:19+00:00,4214.95000,,,,2025-11-13T14:42:28+00:00,4199.83000,TAKE_PROFIT_ORDER,15.12000,725.76,USD,3.15
101-004-30719775-007,XAU/USD,Sell,48.00,,2025-11-13T14:44:26+00:00,4185.06000,,,,2025-11-13T14:55:41+00:00,4196.07000,STOP_LOSS_ORDER,-11.01000,-528.48,USD,11.25
101-004-30719775-007,XAU/USD,Sell,47.00,,2025-11-13T14:58:15+00:00,4199.01000,,,,2025-11-13T16:10:10+00:00,4209.76000,STOP_LOSS_ORDER,-10.75000,-505.25,USD,71.92
101-004-30719775-007,XAU/USD,Sell,48.00,,2025-11-13T16:25:21+00:00,4204.55000,,,,2025-11-13T18:29:04+00:00,4189.75000,TAKE_PROFIT_ORDER,14.80000,710.40,USD,123.72
101-004-30719775-007,XAU/USD,Sell,117.00,,2025-11-14T10:16:01+00:00,4164.37000,,,,2025-11-14T11:16:48+00:00,4149.67000,TAKE_PROFIT_ORDER,14.70000,1719.90,USD,60.78
101-004-30719775-007,XAU/USD,Sell,119.00,,2025-11-14T11:54:33+00:00,4144.59000,,,,2025-11-14T12:11:33+00:00,4129.80000,TAKE_PROFIT_ORDER,14.79000,1760.01,USD,17.00
101-004-30719775-007,XAU/USD,Sell,119.00,,2025-11-14T13:02:08+00:00,4111.32000,,,,2025-11-14T13:12:12+00:00,4096.29000,TAKE_PROFIT_ORDER,15.03000,1788.57,USD,10.07
101-004-30719775-007,XAU/USD,Sell,121.00,,2025-11-14T13:55:06+00:00,4051.16000,,,,2025-11-14T14:33:11+00:00,4036.62000,TAKE_PROFIT_ORDER,14.54000,1759.34,USD,38.08
101-004-30719775-007,XAU/USD,Sell,124.00,,2025-11-14T15:21:05+00:00,4079.98000,,,,2025-11-14T15:48:02+00:00,4090.92000,STOP_LOSS_ORDER,-10.94000,-1356.56,USD,26.95
101-004-30719775-007,XAU/USD,Buy,123.00,,2025-11-14T16:43:22+00:00,4108.78000,,,,2025-11-14T17:08:05+00:00,4098.43000,STOP_LOSS_ORDER,-10.35000,-1273.05,USD,24.72
101-004-30719775-007,XAU/USD,Buy,121.00,,2025-11-14T17:25:04+00:00,4101.69000,,,,2025-11-14T18:01:55+00:00,4091.33000,STOP_LOSS_ORDER,-10.36000,-1253.56,USD,36.85
