account_id,instrument,side,units,entry_ticket,entry_timestamp,entry_price,stop_loss,take_profit,exit_ticket,exit_timestamp,exit_price,close_type,price_change,pnl,pnl_currency,holding_minutes
101-004-30719775-011,USD/JPY,Buy,50000.00,,2025-11-14T00:10:24+00:00,154.73000,,,,2025-11-14T00:10:29+00:00,154.71200,STOP_LOSS_ORDER,-0.01800,-5.85,USD,0.08
101-004-30719775-011,USD/JPY,Buy,50000.00,,2025-11-14T00:14:13+00:00,154.74800,,,,2025-11-14T00:14:26+00:00,154.72900,STOP_LOSS_ORDER,-0.01900,-6.17,USD,0.22
101-004-30719775-011,GBP/USD,Sell,10000.00,,2025-11-14T00:05:16+00:00,1.31531,,,,2025-11-14T00:18:06+00:00,1.31589,STOP_LOSS_ORDER,-0.00058,-5.80,USD,12.83
101-004-30719775-011,USD/JPY,Buy,50000.00,,2025-11-14T00:25:36+00:00,154.66300,,,,2025-11-14T00:25:38+00:00,154.64300,STOP_LOSS_ORDER,-0.02000,-6.50,USD,0.03
101-004-30719775-011,GBP/USD,Sell,10000.00,,2025-11-14T00:20:29+00:00,1.31593,,,,2025-11-14T00:38:17+00:00,1.31500,TAKE_PROFIT_ORDER,0.00093,9.30,USD,17.80
101-004-30719775-011,GBP/USD,Sell,10000.00,,2025-11-14T00:33:04+00:00,1.31521,,,,2025-11-14T00:42:57+00:00,1.31434,TAKE_PROFIT_ORDER,0.00087,9.30,USD,9.88
101-004-30719775-011,GBP/USD,Sell,10000.00,,2025-11-14T00:34:21+00:00,1.31527,,,,2025-11-14T00:42:57+00:00,1.31428,TAKE_PROFIT_ORDER,0.00099,9.30,USD,8.60
101-004-30719775-011,USD/JPY,Buy,50000.00,,2025-11-14T00:35:38+00:00,154.64500,,,,2025-11-14T00:43:41+00:00,154.67000,TAKE_PROFIT_ORDER,0.02500,8.04,USD,8.05
101-004-30719775-011,USD/JPY,Buy,50000.00,,2025-11-14T00:44:34+00:00,154.69200,,,,2025-11-14T00:47:32+00:00,154.67000,STOP_LOSS_ORDER,-0.02200,-7.15,USD,2.97
101-004-30719775-011,USD/JPY,Buy,50000.00,,2025-11-14T00:48:24+00:00,154.70500,,,,2025-11-14T00:48:29+00:00,154.68300,STOP_LOSS_ORDER,-0.02200,-7.15,USD,0.08
