time,time_utc,open,high,low,close,volume,complete
2025-08-20 02:00:00+01:00,2025-08-20 01:00:00+00:00,147.572,147.666,147.424,147.5,11652,True
2025-08-20 03:00:00+01:00,2025-08-20 02:00:00+00:00,147.502,147.623,147.474,147.581,9062,True
2025-08-20 04:00:00+01:00,2025-08-20 03:00:00+00:00,147.582,147.594,147.454,147.532,6741,True
2025-08-20 05:00:00+01:00,2025-08-20 04:00:00+00:00,147.532,147.614,147.457,147.582,4520,True
2025-08-20 06:00:00+01:00,2025-08-20 05:00:00+00:00,147.581,147.581,147.404,147.464,5964,True
2025-08-20 07:00:00+01:00,2025-08-20 06:00:00+00:00,147.464,147.477,147.144,147.381,12598,True
2025-08-20 08:00:00+01:00,2025-08-20 07:00:00+00:00,147.382,147.696,147.328,147.626,12972,True
2025-08-20 09:00:00+01:00,2025-08-20 08:00:00+00:00,147.627,147.647,147.526,147.588,9356,True
2025-08-20 10:00:00+01:00,2025-08-20 09:00:00+00:00,147.588,147.592,147.424,147.48,5781,True
2025-08-20 11:00:00+01:00,2025-08-20 10:00:00+00:00,147.48,147.495,147.368,147.452,5100,True
2025-08-20 12:00:00+01:00,2025-08-20 11:00:00+00:00,147.451,147.55,147.416,147.54,5203,True
2025-08-20 13:00:00+01:00,2025-08-20 12:00:00+00:00,147.539,147.54,147.242,147.276,13578,True
2025-08-20 14:00:00+01:00,2025-08-20 13:00:00+00:00,147.276,147.44,147.084,147.156,14774,True
2025-08-20 15:00:00+01:00,2025-08-20 14:00:00+00:00,147.158,147.254,146.872,146.998,20411,True
2025-08-20 16:00:00+01:00,2025-08-20 15:00:00+00:00,146.998,147.212,146.95,147.196,11770,True
2025-08-20 17:00:00+01:00,2025-08-20 16:00:00+00:00,147.196,147.233,147.098,147.117,7091,True
2025-08-20 18:00:00+01:00,2025-08-20 17:00:00+00:00,147.115,147.142,147.01,147.026,6310,True
2025-08-20 19:00:00+01:00,2025-08-20 18:00:00+00:00,147.02,147.287,147.012,147.272,6649,True
2025-08-20 20:00:00+01:00,2025-08-20 19:00:00+00:00,147.272,147.36,147.24,147.344,4807,True
2025-08-20 21:00:00+01:00,2025-08-20 20:00:00+00:00,147.345,147.494,147.298,147.312,3049,True
2025-08-20 22:00:00+01:00,2025-08-20 21:00:00+00:00,147.349,147.354,147.302,147.315,767,True
2025-08-20 23:00:00+01:00,2025-08-20 22:00:00+00:00,147.318,147.372,147.256,147.345,1989,True
2025-08-21 00:00:00+01:00,2025-08-20 23:00:00+00:00,147.343,147.413,147.298,147.304,4289,True
2025-08-21 01:00:00+01:00,2025-08-21 00:00:00+00:00,147.306,147.464,147.256,147.389,12472,True
2025-08-21 02:00:00+01:00,2025-08-21 01:00:00+00:00,147.388,147.51,147.314,147.43,10020,True
2025-08-21 03:00:00+01:00,2025-08-21 02:00:00+00:00,147.426,147.457,147.256,147.346,6596,True
2025-08-21 04:00:00+01:00,2025-08-21 03:00:00+00:00,147.346,147.448,147.291,147.42,4964,True
2025-08-21 05:00:00+01:00,2025-08-21 04:00:00+00:00,147.42,147.428,147.346,147.386,3640,True
2025-08-21 06:00:00+01:00,2025-08-21 05:00:00+00:00,147.385,147.502,147.37,147.428,5899,True
2025-08-21 07:00:00+01:00,2025-08-21 06:00:00+00:00,147.427,147.581,147.344,147.566,10595,True
2025-08-21 08:00:00+01:00,2025-08-21 07:00:00+00:00,147.566,147.642,147.512,147.598,11539,True
2025-08-21 09:00:00+01:00,2025-08-21 08:00:00+00:00,147.598,147.628,147.556,147.588,9266,True
2025-08-21 10:00:00+01:00,2025-08-21 09:00:00+00:00,147.588,147.698,147.48,147.67,7845,True
2025-08-21 11:00:00+01:00,2025-08-21 10:00:00+00:00,147.67,147.894,147.659,147.85,7339,True
2025-08-21 12:00:00+01:00,2025-08-21 11:00:00+00:00,147.846,147.936,147.82,147.926,8428,True
2025-08-21 13:00:00+01:00,2025-08-21 12:00:00+00:00,147.926,147.932,147.582,147.754,14856,True
2025-08-21 14:00:00+01:00,2025-08-21 13:00:00+00:00,147.756,147.94,147.584,147.804,20737,True
2025-08-21 15:00:00+01:00,2025-08-21 14:00:00+00:00,147.806,148.17,147.8,148.158,20353,True
2025-08-21 16:00:00+01:00,2025-08-21 15:00:00+00:00,148.159,148.404,148.078,148.358,18699,True
2025-08-21 17:00:00+01:00,2025-08-21 16:00:00+00:00,148.358,148.396,148.279,148.288,8661,True
2025-08-21 18:00:00+01:00,2025-08-21 17:00:00+00:00,148.288,148.306,148.17,148.273,6121,True
2025-08-21 19:00:00+01:00,2025-08-21 18:00:00+00:00,148.274,148.35,148.23,148.348,5648,True
2025-08-21 20:00:00+01:00,2025-08-21 19:00:00+00:00,148.349,148.408,148.345,148.38,3686,True
2025-08-21 21:00:00+01:00,2025-08-21 20:00:00+00:00,148.38,148.39,148.32,148.389,2310,True
2025-08-21 22:00:00+01:00,2025-08-21 21:00:00+00:00,148.337,148.389,148.295,148.364,543,True
2025-08-21 23:00:00+01:00,2025-08-21 22:00:00+00:00,148.366,148.382,148.318,148.338,1482,True
2025-08-22 00:00:00+01:00,2025-08-21 23:00:00+00:00,148.338,148.456,148.294,148.386,4382,True
2025-08-22 01:00:00+01:00,2025-08-22 00:00:00+00:00,148.387,148.504,148.283,148.476,11449,True
2025-08-22 02:00:00+01:00,2025-08-22 01:00:00+00:00,148.477,148.685,148.412,148.552,9733,True
2025-08-22 03:00:00+01:00,2025-08-22 02:00:00+00:00,148.553,148.561,148.457,148.488,5907,True
2025-08-22 04:00:00+01:00,2025-08-22 03:00:00+00:00,148.488,148.72,148.484,148.677,6396,True
2025-08-22 05:00:00+01:00,2025-08-22 04:00:00+00:00,148.676,148.766,148.644,148.746,5881,True
2025-08-22 06:00:00+01:00,2025-08-22 05:00:00+00:00,148.746,148.778,148.6,148.674,7657,True
2025-08-22 07:00:00+01:00,2025-08-22 06:00:00+00:00,148.676,148.71,148.424,148.519,8951,True
2025-08-22 08:00:00+01:00,2025-08-22 07:00:00+00:00,148.518,148.626,148.412,148.606,9038,True
2025-08-22 09:00:00+01:00,2025-08-22 08:00:00+00:00,148.608,148.676,148.546,148.639,8434,True
2025-08-22 10:00:00+01:00,2025-08-22 09:00:00+00:00,148.64,148.714,148.602,148.708,7366,True
2025-08-22 11:00:00+01:00,2025-08-22 10:00:00+00:00,148.709,148.736,148.622,148.634,5457,True
2025-08-22 12:00:00+01:00,2025-08-22 11:00:00+00:00,148.634,148.74,148.598,148.709,8785,True
2025-08-22 13:00:00+01:00,2025-08-22 12:00:00+00:00,148.708,148.724,148.604,148.706,12114,True
2025-08-22 14:00:00+01:00,2025-08-22 13:00:00+00:00,148.704,148.721,148.495,148.61,13451,True
2025-08-22 15:00:00+01:00,2025-08-22 14:00:00+00:00,148.608,148.608,146.802,146.854,56236,True
2025-08-22 16:00:00+01:00,2025-08-22 15:00:00+00:00,146.854,146.896,146.572,146.829,22576,True
2025-08-22 17:00:00+01:00,2025-08-22 16:00:00+00:00,146.83,146.852,146.652,146.708,13237,True
2025-08-22 18:00:00+01:00,2025-08-22 17:00:00+00:00,146.708,146.739,146.576,146.646,10471,True
2025-08-22 19:00:00+01:00,2025-08-22 18:00:00+00:00,146.646,146.876,146.605,146.866,7988,True
2025-08-22 20:00:00+01:00,2025-08-22 19:00:00+00:00,146.867,147.002,146.846,146.964,5138,True
2025-08-22 21:00:00+01:00,2025-08-22 20:00:00+00:00,146.962,146.989,146.885,146.926,4054,True
2025-08-24 22:00:00+01:00,2025-08-24 21:00:00+00:00,146.887,146.935,146.802,146.906,648,True
2025-08-24 23:00:00+01:00,2025-08-24 22:00:00+00:00,146.887,147.068,146.832,147.065,3102,True
2025-08-25 00:00:00+01:00,2025-08-24 23:00:00+00:00,147.064,147.305,147.047,147.27,4920,True
2025-08-25 01:00:00+01:00,2025-08-25 00:00:00+00:00,147.268,147.526,147.25,147.389,12097,True
2025-08-25 02:00:00+01:00,2025-08-25 01:00:00+00:00,147.39,147.464,147.254,147.399,9227,True
2025-08-25 03:00:00+01:00,2025-08-25 02:00:00+00:00,147.398,147.518,147.394,147.44,5910,True
2025-08-25 04:00:00+01:00,2025-08-25 03:00:00+00:00,147.438,147.438,147.304,147.342,4656,True
2025-08-25 05:00:00+01:00,2025-08-25 04:00:00+00:00,147.342,147.358,147.208,147.234,4202,True
2025-08-25 06:00:00+01:00,2025-08-25 05:00:00+00:00,147.235,147.376,147.233,147.3,4755,True
2025-08-25 07:00:00+01:00,2025-08-25 06:00:00+00:00,147.298,147.32,147.096,147.168,8850,True
2025-08-25 08:00:00+01:00,2025-08-25 07:00:00+00:00,147.166,147.37,147.139,147.34,7638,True
2025-08-25 09:00:00+01:00,2025-08-25 08:00:00+00:00,147.34,147.37,147.256,147.287,6391,True
2025-08-25 10:00:00+01:00,2025-08-25 09:00:00+00:00,147.289,147.385,147.222,147.349,5166,True
2025-08-25 11:00:00+01:00,2025-08-25 10:00:00+00:00,147.348,147.45,147.324,147.44,5940,True
2025-08-25 12:00:00+01:00,2025-08-25 11:00:00+00:00,147.442,147.448,147.288,147.322,6377,True
2025-08-25 13:00:00+01:00,2025-08-25 12:00:00+00:00,147.32,147.452,147.313,147.382,7709,True
2025-08-25 14:00:00+01:00,2025-08-25 13:00:00+00:00,147.382,147.547,147.311,147.314,11376,True
2025-08-25 15:00:00+01:00,2025-08-25 14:00:00+00:00,147.314,147.498,147.292,147.49,12046,True
